factor,IC_mean,IC_std,ICIR,absICIR,coverage
ret_1d_adj_10d_range,-0.007267902434596021,0.30810583770772976,-0.02358897997087085,0.02358897997087085,0.9303135888501742
ret_1d_adj_20d_mean,0.03980838501285928,0.3189734261869857,0.12480157199528956,0.12480157199528956,0.8954703832752613
ret_1d_adj_20d_std,-0.004329470495140975,0.3087047890147979,-0.014024630161903449,0.014024630161903449,0.8954703832752613
ret_1d_adj_20d_range,0.0077444215932394095,0.30739362147312416,0.02519382658666037,0.02519382658666037,0.8954703832752613
intraday_ret_5d_mean,-0.008777399769690128,0.30179838494113653,-0.029083653881720052,0.029083653881720052,0.9512195121951219
intraday_ret_5d_std,-0.027926842156695112,0.30263409065209307,-0.09227923429419489,0.09227923429419489,0.9512195121951219
intraday_ret_5d_range,-0.023021775048680332,0.2962732467917318,-0.07770453558658207,0.07770453558658207,0.9512195121951219
intraday_ret_10d_mean,0.0017054150116678868,0.317011825528182,0.005379657395513396,0.005379657395513396,0.9337979094076655
intraday_ret_10d_std,-0.01244788785140904,0.3096613721409435,-0.04019838756557385,0.04019838756557385,0.9337979094076655
intraday_ret_10d_range,-0.0057875508178117895,0.3033232733972871,-0.019080470657559353,0.019080470657559353,0.9337979094076655
intraday_ret_20d_mean,0.036387315897893555,0.33406736428021794,0.10892209113659972,0.10892209113659972,0.8989547038327527
intraday_ret_20d_std,-0.01833612904109101,0.30108354879801996,-0.06090046804048961,0.06090046804048961,0.8989547038327527
intraday_ret_20d_range,-0.005784353746648265,0.29072000135310544,-0.019896648733234733,0.019896648733234733,0.8989547038327527
amount_to_circ_mv_5d_mean,-0.005530643985210959,0.3355554347076226,-0.01648205754745096,0.01648205754745096,0.8815331010452961
amount_to_circ_mv_5d_std,-0.012725708715824617,0.3057719679962559,-0.04161829744962246,0.04161829744962246,0.8815331010452961
amount_to_circ_mv_5d_range,-0.008247128767130308,0.3071722826763374,-0.026848544716582316,0.026848544716582316,0.8815331010452961
amount_to_circ_mv_10d_mean,0.006854766864010854,0.33474484061753446,0.020477587799009055,0.020477587799009055,0.8641114982578397
amount_to_circ_mv_10d_std,0.0071001523082368945,0.31792556802138416,0.022332750248508882,0.022332750248508882,0.8641114982578397
amount_to_circ_mv_10d_range,0.004738488967533403,0.31577765023756044,0.015005776893863844,0.015005776893863844,0.8641114982578397
amount_to_circ_mv_20d_mean,0.014980669717574597,0.34270083027225745,0.04371354952852976,0.04371354952852976,0.8292682926829268
amount_to_circ_mv_20d_std,0.00852955180864078,0.3311934258878737,0.0257539888836093,0.0257539888836093,0.8292682926829268
amount_to_circ_mv_20d_range,0.013881194658351678,0.3284516061286608,0.04226252634890191,0.04226252634890191,0.8292682926829268
volume_ratio_5d_mean,-0.04936154045738216,0.2687234249428327,-0.18368901210559954,0.18368901210559954,0.8815331010452961
volume_ratio_5d_std,-0.040836438044010215,0.254681070753702,-0.16034343629528117,0.16034343629528117,0.8815331010452961
volume_ratio_5d_range,-0.03805289698153492,0.2507848557487585,-0.15173522686576063,0.15173522686576063,0.8815331010452961
volume_ratio_10d_mean,-0.0347011587595841,0.2807687136069388,-0.12359339583741467,0.12359339583741467,0.8641114982578397
volume_ratio_10d_std,-0.000445936343108887,0.25414584444427646,-0.0017546473918705454,0.0017546473918705454,0.8641114982578397
volume_ratio_10d_range,0.0018024858382458193,0.24587100190283884,0.0073310224642030375,0.0073310224642030375,0.8641114982578397
volume_ratio_20d_mean,-0.027483261628427434,0.2514608550128127,-0.1092943934634561,0.1092943934634561,0.8292682926829268
volume_ratio_20d_std,0.0006410132626439148,0.2454942716286174,0.0026111129127022433,0.0026111129127022433,0.8292682926829268
volume_ratio_20d_range,4.133678472663301e-05,0.2525197707452601,0.00016369722103198495,0.00016369722103198495,0.8292682926829268
hl_skew_1d,-0.009355617791936159,0.2944827107463628,-0.03176966745594151,0.03176966745594151,0.9651567944250871
hl_skew_20d_mean,0.006181340194358904,0.2828954251569644,0.02185026566240578,0.02185026566240578,0.8989547038327527
vp_trend_20d,0.007319243585876781,0.3302492528443557,0.022162786207199362,0.022162786207199362,0.8292682926829268
reversal_spread_20d_5d,0.05520693621101776,0.3186219894808338,0.17326781588732323,0.17326781588732323,0.8954703832752613
turnover_used_csz,-0.04229573431556144,0.3119614007664049,-0.13558002436087363,0.13558002436087363,0.8954703832752613
ret_1d_adj_csz,-0.0013132702146554946,0.3156779502421088,-0.004160158204424109,0.004160158204424109,0.9616724738675958
intraday_ret_csz,-0.015272048110871269,0.31681136553116473,-0.04820549314973663,0.04820549314973663,0.9651567944250871
amount_to_circ_mv_csz,-0.0008719438278745037,0.3422842551565221,-0.002547426049368748,0.002547426049368748,0.8954703832752613
volume_ratio_csz,-0.04687333365762785,0.251103863111301,-0.18666910606967202,0.18666910606967202,0.8954703832752613
